CLF	DLS	ISIS	NAME	Description	SEQUENCE NUMBER						
y	y	y	analyzed	Analyzed data	999.00	12/09/2007 13:30:16.5	ICATISIS_DEV_NEW	12/09/2007 13:30:16.5	FROM SPREADSHEET	Y	N
y	y	y	experiment_cal	RAW data collected at the facility during a calibration run.	999.00	12/09/2007 13:30:16.5	ICATISIS_DEV_NEW	12/09/2007 13:30:16.5	FROM SPREADSHEET	Y	N
y	y	y	experiment_eng	RAW data collected at the facility during a engineering test.	999.00	12/09/2007 13:30:16.5	ICATISIS_DEV_NEW	12/09/2007 13:30:16.5	FROM SPREADSHEET	Y	N
y	y	y	experiment_raw	RAW data collected at the facility during an experiment.	999.00	12/09/2007 13:30:16.5	ICATISIS_DEV_NEW	12/09/2007 13:30:16.5	FROM SPREADSHEET	Y	N
y	y	y	laser_shot	CLF specific data related to the high power end of the Laser monitoring.	999.00	12/09/2007 13:30:16.5	ICATISIS_DEV_NEW	12/09/2007 13:30:16.5	FROM SPREADSHEET	Y	N
y	y	y	reduced	Reduced Data	999.00	12/09/2007 13:30:16.5	ICATISIS_DEV_NEW	12/09/2007 13:30:16.5	FROM SPREADSHEET	Y	N
y	y	y	sample/target	Dataset containing information about a sample/target	999.00	12/09/2007 13:30:16.5	ICATISIS_DEV_NEW	12/09/2007 13:30:16.5	FROM SPREADSHEET	Y	N
y	y	y	simulation	Simulation data	999.00	12/09/2007 13:30:16.5	ICATISIS_DEV_NEW	12/09/2007 13:30:16.5	FROM SPREADSHEET	Y	N
n	n	y	source_monitoring	Data from the monitoring of the Light Source (neutron/X-ray/Laser)	999.00	12/09/2007 13:30:16.5	ICATISIS_DEV_NEW	12/09/2007 13:30:16.5	FROM SPREADSHEET	Y	N
n	n	y	special_cal	"""Calibration data not acquired through the normal Data acquisition system. (single detector calibration, ¿)"""	999.00	12/09/2007 13:30:16.5	ICATISIS_DEV_NEW	12/09/2007 13:30:16.5	FROM SPREADSHEET	Y	N
n	n	y	special_user	User data uploaded into the system	999.00	12/09/2007 13:30:16.5	ICATISIS_DEV_NEW	12/09/2007 13:30:16.5	FROM SPREADSHEET	Y	N
n	n	y	unkown		999.00	12/09/2007 13:48:41.7	FIRST PROPAGATION	12/09/2007 13:48:41.7	FIRST PROPAGATION	Y	N
n	n	y	raw		999.00	12/09/2007 13:48:41.7	FIRST PROPAGATION	12/09/2007 13:48:41.7	FIRST PROPAGATION	Y	N
n	n	y	processed		999.00	12/09/2007 13:48:41.7	FIRST PROPAGATION	12/09/2007 13:48:41.7	FIRST PROPAGATION	Y	N
n	n	y	etc		999.00	12/09/2007 13:48:41.7	FIRST PROPAGATION	12/09/2007 13:48:41.7	FIRST PROPAGATION	Y	N
y	n	n	LASER_SHOT	CLF specific data related to the high power end of the Laser monitoring. 
y	n	n	QUANTEL_SHOT	CLF specific data related to the Quantel subsystem of Astra-Gemini
y	n	n	DAILY_DATA	CLF specific data related to the low power end of the Laser monitoring.  Daily performance data of Astra Gemini. 
				
				
				
				
				
				
				
				
				
				
				
				
				
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
