CLF	DLS	ISIS	INSTRUMENT NAME	STATION SCIENTIST FEDERAL ID	SEQUENCE NUMBER						
n	n	y	tosca	ajrc35	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	vesuvio	jm37	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	vesuvio	maa98	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	musr	adh37	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	musr	pjck34	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	emu	spc36	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	emu	srg56	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	emu	pjck34	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	deva	jsl28	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	deva	pjck34	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	hrpd	rmi45	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	hrpd	ksk28	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	polaris	ris96	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	polaris	sh38	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	sxd	mjg87	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	sxd	mada67	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	pearl	wgm78	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	pearl	mt23	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	sandals	dtb73	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	sandals	aks45	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	gem	pgr36	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	gem	ach25	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	gem	jgc59	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	gem	wk37	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	loq	rkh98	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	loq	smk78	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	loq	at23	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	crisp	rmd36	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	crisp	trc73	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	crisp	avh45	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	crisp	sl27	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	surf	jrpw37	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	surf	sah88	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	surf	avh45	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	het	rib76	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	het	dta67	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	mari	jt43	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	prisma	mjb76	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	prisma	mp43	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	prisma	eg43	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	rotax	wk37	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	maps	tgp98	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	maps	cdf62	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	alf	cdf62	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	iris	ffa38	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	iris	mt29	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	iris	fd67	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	osiris	mt29	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	osiris	ffa38	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	osiris	fd67	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	tosca	sfp76	1.00	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	17/09/2007 17:24:35.3	ICATISIS_DEV_NEW	Y	N
n	n	y	evs	maa98	1.00	13/11/2007 00:00:00.0	dwf64	13/11/2007 00:00:00.0	dwf64	Y	N
n	n	y	evs	jm37	1.00	13/11/2007 00:00:00.0	dwf64	13/11/2007 00:00:00.0	dwf64	Y	N
n	n	y	enginx	eco76	1.00	05/10/2007 00:00:00.0	dwf64	05/10/2007 00:00:00.0	dwf64	Y	N
n	n	y	ines	si67	1.00	05/10/2007 00:00:00.0	dwf64	05/10/2007 00:00:00.0	dwf64	Y	N
n	n	y	merlin	rib76	1.00	08/09/2007 00:00:00.0	dwf4	08/09/2007 00:00:00.0	dwf64	Y	N
n	n	y	argus	pjck34	1.00	05/10/2007 00:00:00.0	dwf64	05/10/2007 00:00:00.0	dwf64	Y	N
y	n	n	Astra TA1	ejd22	1.00						
y	n	n	Astra TA2	ejd22	1.00						
y	n	n	Astra-Gemini	ejd22	1.00						
y	n	n	Vulcan TA1	ejd22	1.00						
y	n	n	Vulcan TA2	ejd22	1.00						
n	y	n	i02	tls45	1.00						
n	y	n	i02	kjc53246	1.00
n	y	n	i03	emhd34	1.00
n	y	n	i03	kem28	1.00
n	y	n	i03	nwg65391	1.00
n	y	n	i03	ndg63276	1.00
n	y	n	i04-1	jrb34	1.00
n	y	n	i04-1	tmw91856	1.00
n	y	n	i04-1	ge73	1.00
n	y	n	i04-1	rf78	1.00
n	y	n	i06	dss62	1.00
n	y	n	i06	sac53	1.00
n	y	n	i06	brc59576	1.00
n	y	n	i07 	cln89	1.00
n	y	n	i07 	ta47	1.00
n	y	n	i07 	dqr75132	1.00
n	y	n	i08	bzj13435	1.00
n	y	n	i10	ps65	1.00
n	y	n	i10	hpg38354	1.00
n	y	n	i11	cct73	1.00
n	y	n	i11	spt76	1.00
n	y	n	i11	wnw91856	1.00
n	y	n	i12	md73	1.00
n	y	n	i12	tc42	1.00
n	y	n	i15	aj49	1.00
n	y	n	i15	hkw32	1.00
n	y	n	i15	wnq65951	1.00
n	y	n	i15	sqd53246	1.00
n	y	n	i16	spc93	1.00
n	y	n	i16	ab23	1.00
n	y	n	i16	jzb41243	1.00
n	y	n	b16	ks87	1.00
n	y	n	b16	ipd89	1.00
n	y	n	b16	gpk42627	1.00
n	y	n	i18	jfwm63	1.00
n	y	n	i18	pq67	1.00
n	y	n	i18	tzm13762	1.00
n	y	n	b18	ajd62	1.00
n	y	n	b18	ttv27813	1.00
n	y	n	b18	ggj78958	1.00
n	y	n	i19	rgk79165	1.00
n	y	n	i19	hn72	1.00
n	y	n	i19	wcx62662	1.00
n	y	n	i20	sdm96	1.00
n	y	n	i20	sh67	1.00
n	y	n	i22	njt78	1.00
n	y	n	i22	sm43	1.00
n	y	n	i22	tyz49132	1.00
n	y	n	i22	dgh72365	1.00
n	y	n	b22	rps12965	1.00
n	y	n	b22	cpr78328	1.00
n	y	n	b23	gs45	1.00
n	y	n	b23	rh28	1.00
n	y	n	b23	fdg32384	1.00
n	y	n	b23	ccw52681	1.00
n	y	n	i24	ge73	1.00
n	y	n	i24	ahw78	1.00
n	y	n	i24	wa78	1.00
n	y	n	i04	ge73	1.00
n	y	n	i04	rf78	1.00
